Reviews,Rating
it only lasted not even  weeks ran hot all the time was not happy at all for the money i paid for it,negative
nice specs for the price but the g data connection is not working wind italy mhz g not tested only g edge works so it is almost uselessalso too many preinstalled chinaappswill not buy again,negative
hmmmm too cheap buy something else why did i waste my money,negative
did not like it all wish i could get my money back,negative
could not get eleven speakout sim cards to work they worked in other phones as soon as i tried to activate sim card all i got from this phone was repeated flashing that would not stop until sim card was removed very frustrating and disappointinga waste of time and money i would give it a zero if i could,negative
this phone is so bad i would not advice anyone to buy it my experience with it has been horriblethe wifi disconnect randomly the device unexpectedly shut down on it own you shall  you will have to remove the battery and fix it again before it restarts sometimes the return button do not work for some unknown reasons i bought it new and ive only used it for just over  monthsits a waste of money and i am trying to find ways to see if i can return it now,negative
the phone cannot charge and the sims card do not work,negative
this is a piece of junk do not waste your money it started acting up just after the return date and there was no contact seller option available for me to contact them i bought it for my daughter going off to college as a gift imagine my frustration and worry when i cannot get in touch with her even after restarting it a million times she has  she is not able to send me a text message because the letters are running all over the screen even now the phone has to be turned off most of the time because of that i am so disappointed right now,negative
product front face cracked with just one day of usage,negative
i purchased  phone i recieved the phone and the touch screen wasnt responding to the finger sent the phone back recieved my replacement but the screen is no longer working and my photos are still in the phone if i was to send it back so im wondering what to do at this point ,negative
after almost four months of ownership i sorely regret purchasing this piece of junk being misled by older higherrated reviews im already looking at finding a replacement keep your  in your pocket and stay away for your own sanityfirst off the blu dash  is part of a family of clones including the cherry mobile burst and lava xolo a if something comes out for one of the clones chances are it will also work with the dashunboxing everything about this phone screamed cheap chinese knockoff starting with the packaging for god knows what reason a giant sticker covered the display and was stuck to what would could be a semidecent screen protector do not bother with the manual unless you want a good laugh at how poorly translated it is even the manual offered on blus web site does not match at least the manual on the web explains how to seat the microsd card using the flipping metal slothardware the hardware is very poor quality within two months white spots developed on the display at this price point there is not much room to complain after enough battery pulls the flimsy back cover will not stay closed in place and you will be pulling the battery quite a bit more on the software laterwithin the last few weeks the phone now overheats especially when i use gps for an extended period such as waze consequently the phone reboots which makes it useless for navigatingthe phone ships with  mb of ram which is the bare minimum for ics even worse you are only allocated  mb because of this limitation i recommend rooting and tweaking the memory management not that it has  it is going to help much because you are just going to kill off much needed services sooner so take your pick either live with constantly restarting services or having android bog down and freeze bottom line these clones should have shipped with  gb at minimumthe phone comes with front and rear cameras but they are both horrible for anything more than basic pictures for the web the rear camera has a led flash but it has  it is weak ive tried switching to  mp for taking shots but the camera hardware is just lackingsoftware the phone originally shipped with a very buggy  rom and go launcher ex dump go and switch to a better launcher such as apex or nova  at least they will not lag or redraw on you as often there is not much bloatware you do get a fm radio app led flashlight weak a notes app portable hotspot stopwatch whatsapp world clock facebook and twitter an updated build featured the stock launcher and lacked a few social apps too bad that it was still buggythe broken english in the dialogs is rather annoying even worse are the power saver settings which do not make any sense whatsoever i just leave it off completelylag as mentioned  mb of ram is not enough to run ics with your apps your phone will lag no buenobattery life terrible keep chargers on hand especially if you listen to a lot of music after two months i noticed that my battery is not holding a charge like it used to even after wiping battery stats and calibrating where did blu find these cheap batteries fromstorage space  gb for internal storage and  gb for phone storage i highly recommend adding a microsd cardno google play services out of the box this is not the same as the google play store any apps that rely on this youtube google my tracks will simply refuse to work try installing google play services all you want it will fail blus update corrected thisphonedialer if i use heavy apps and i have an incoming call there is a noticeable delay before the incoming call screen appears on more than occasion i have missed calls because of this the speaker can be glitchy at times requiring a few onoff togglesno support i experienced first hand that blu does not stand by their products they will tell you to contact your distributor who are equally worthless when it comes to getting help not to mention i also saw the bit about the warranty not applying to the customer you might as well root and take total control of your device and try to fix the shortcomings yourselfbottom line keep your expectations in check this is a budget phone and you are getting what you pay for normally i root my android devices to get rid of annoying ads and to install titanium backup for backing up my apps i should not have to root to fix shortcomings such as the inadequate memory and out of the box management the hardware issues may not crop up until long after your warranty period unfortunately this phone is not worth much if you try to sell itstay far away from these phones last i heard there has  there is a newer version with jelly beanand the same limiting  mb ram good luck with that,negative
this phone is absolutely awful i returned,negative
the first blackberry i received further sent back was old dirt and imcomplete with no ear plugs no leather caseetc and the body where the screen is was not tight fixed to the case it was losen and whenever you touched it it would move making noisesi had it returnedthe second one came with the items aforementioned but with the same problem you can make music by trying to touch the screen and the batery is not chargingthe problem being i live in brazil and already returned to iti have been an amazon customer for almost twenty years i believe but i had never bought any eletronics from you basicly i bought cds and xbox items until now i had never had problemsbut this purchase was a disaster i am really frustrated and disapointedi never got the screens i bought for this very same blackberry they where supposed to arrive on tuesday  and now i got an email from the global whatever saying that it will be in  businees days and that i please be patient the cellphone was a disater it is not working properly it is not chargingetc,negative
soon as i received the phone it was not working properly at all the phone was very defective i could not log into any of the software and i had to keep reactivating the phone and it still does not work,negative
